FeatureCode,DateCode,Measurement,Units,Value,Gender,Working Pattern
S12000035,2019-Q2,95% Lower Confidence Limit,Percentage Of People Employed,84.3,Male,Full Time
S12000014,2016-Q2,Count,People,4000,Male,Part Time
S12000035,2010-Q1,95% Upper Confidence Limit,Percentage Of People Employed,91.1,Male,Full Time
S12000035,2013-Q1,95% Upper Confidence Limit,Percentage Of People Employed,87.7,Male,Full Time
S12000014,2013-Q2,Count,People,4600,Male,Part Time
S12000035,2019-Q2,95% Upper Confidence Limit,Percentage Of People Employed,92.1,Male,Full Time
S12000035,2015-Q4,Ratio,Percentage Of People Employed,84.1,Male,Full Time
S12000035,2015-Q3,Ratio,Percentage Of People Employed,86.4,Male,Full Time
S12000014,2014-Q2,Count,People,3800,Male,Part Time
S12000014,2014-Q4,Count,People,4200,Male,Part Time
S12000035,2006-Q1,95% Lower Confidence Limit,Percentage Of People Employed,5.1,Male,Part Time
S12000035,2017-Q2,Count,People,19000,Male,Full Time
S12000014,2012-Q4,Count,People,3600,Male,Part Time
S12000014,2015-Q4,Count,People,3600,Male,Part Time
S12000035,2010-Q4,95% Lower Confidence Limit,Percentage Of People Employed,80.8,Male,Full Time
S12000014,2013-Q4,Count,People,4300,Male,Part Time
S12000035,2010-Q2,95% Lower Confidence Limit,Percentage Of People Employed,10.5,Male,Part Time
S12000014,2006-Q2,Count,People,2400,Male,Part Time
S12000014,2016-Q1,Count,People,3700,Male,Part Time
S12000014,2010-Q1,Count,People,3500,Male,Part Time
S12000014,2015-Q1,Count,People,4200,Male,Part Time
S12000014,2017-Q1,Count,People,3900,Male,Part Time
S12000035,2010-Q3,Ratio,Percentage Of People Employed,87.2,Male,Full Time
S12000014,2018-Q4,95% Lower Confidence Limit,Percentage Of People Employed,88.4,Male,Full Time
S12000035,2014-Q3,Ratio,Percentage Of People Employed,83.7,Male,Full Time
S12000014,2014-Q1,Count,People,3800,Male,Part Time
S12000014,2019-Q1,Ratio,Percentage Of People Employed,92.1,Male,Full Time
S12000035,2011-Q1,95% Upper Confidence Limit,Percentage Of People Employed,87.1,Male,Full Time
S12000014,2019-Q2,Count,People,35900,Male,Full Time
S12000035,2016-Q4,Ratio,Percentage Of People Employed,86.9,Male,Full Time
S12000014,2019-Q2,Ratio,Percentage Of People Employed,90.8,Male,Full Time
S12000035,2011-Q3,Ratio,Percentage Of People Employed,82.4,Male,Full Time
S12000035,2008-Q4,95% Upper Confidence Limit,Percentage Of People Employed,90.7,Male,Full Time
